title,author,genre,price,description
The Lord of the Rings,Unknown Author,Fantasy,66,A deep dive into Fantasy.
A Game of Thrones,Unknown Author,Fantasy,71,A deep dive into Fantasy.
Percy Jackson,Unknown Author,Fantasy,16,A deep dive into Fantasy.
The Name of the Wind,Unknown Author,Fantasy,19,A deep dive into Fantasy.
Mistborn,Unknown Author,Fantasy,59,A deep dive into Fantasy.
The Wheel of Time,Unknown Author,Fantasy,84,A deep dive into Fantasy.
Eragon,Unknown Author,Fantasy,43,A deep dive into Fantasy.
His Dark Materials,Unknown Author,Fantasy,68,A deep dive into Fantasy.
The Last Unicorn,Unknown Author,Fantasy,19,A deep dive into Fantasy.
The Once and Future King,Unknown Author,Fantasy,97,A deep dive into Fantasy.
Neuromancer,Unknown Author,Science Fiction,28,A deep dive into Science Fiction.
The Martian,Unknown Author,Science Fiction,59,A deep dive into Science Fiction.
Ender's Game,Unknown Author,Science Fiction,30,A deep dive into Science Fiction.
Hyperion,Unknown Author,Science Fiction,52,A deep dive into Science Fiction.
Snow Crash,Unknown Author,Science Fiction,73,A deep dive into Science Fiction.
The Three-Body Problem,Unknown Author,Science Fiction,63,A deep dive into Science Fiction.
Foundation,Unknown Author,Science Fiction,53,A deep dive into Science Fiction.
Brave New World,Unknown Author,Science Fiction,47,A deep dive into Science Fiction.
Do Androids Dream of Electric Sheep?,Unknown Author,Science Fiction,91,A deep dive into Science Fiction.
The Left Hand of Darkness,Unknown Author,Science Fiction,54,A deep dive into Science Fiction.
Artificial Intelligence: A Guide,Unknown Author,Technology,20,A deep dive into Technology.
Deep Learning with Python,Unknown Author,Technology,20,A deep dive into Technology.
Python Machine Learning,Unknown Author,Technology,43,A deep dive into Technology.
The Algorithm Design Manual,Unknown Author,Technology,31,A deep dive into Technology.
Hacking: The Art of Exploitation,Unknown Author,Technology,93,A deep dive into Technology.
Clean Code,Unknown Author,Technology,28,A deep dive into Technology.
Software Engineering,Unknown Author,Technology,68,A deep dive into Technology.
Grokking Algorithms,Unknown Author,Technology,60,A deep dive into Technology.
The Pragmatic Programmer,Unknown Author,Technology,86,A deep dive into Technology.
The Mythical Man-Month,Unknown Author,Technology,53,A deep dive into Technology.
To Kill a Mockingbird,Unknown Author,Fiction,87,A deep dive into Fiction.
The Catcher in the Rye,Unknown Author,Fiction,50,A deep dive into Fiction.
One Hundred Years of Solitude,Unknown Author,Fiction,29,A deep dive into Fiction.
Pride and Prejudice,Unknown Author,Fiction,37,A deep dive into Fiction.
Moby-Dick,Unknown Author,Fiction,21,A deep dive into Fiction.
Crime and Punishment,Unknown Author,Fiction,32,A deep dive into Fiction.
Wuthering Heights,Unknown Author,Fiction,76,A deep dive into Fiction.
Jane Eyre,Unknown Author,Fiction,53,A deep dive into Fiction.
Anna Karenina,Unknown Author,Fiction,53,A deep dive into Fiction.
The Brothers Karamazov,Unknown Author,Fiction,80,A deep dive into Fiction.
Cosmos,Unknown Author,Science,86,A deep dive into Science.
A Brief History of Time,Unknown Author,Science,29,A deep dive into Science.
The Selfish Gene,Unknown Author,Science,25,A deep dive into Science.
The Elegant Universe,Unknown Author,Science,41,A deep dive into Science.
The Gene: An Intimate History,Unknown Author,Science,40,A deep dive into Science.
Why We Sleep,Unknown Author,Science,41,A deep dive into Science.
Astrophysics for People in a Hurry,Unknown Author,Science,35,A deep dive into Science.
The Sixth Extinction,Unknown Author,Science,42,A deep dive into Science.
